"person_uri","persName","birthYear"
"http://dbpedia.org/resource/Joseph_Paul-Boncour","Joseph Paul-Boncour",1873
"http://dbpedia.org/resource/William_Ernest_Hocking","William Ernest Hocking",1873
"http://dbpedia.org/resource/Gabriel_Terra","Gabriel Terra",1873
"http://dbpedia.org/resource/Jules_Rimet","Jules Rimet",1873
"http://dbpedia.org/resource/Edgard_Milhaud","Edgard Milhaud",1873
"http://dbpedia.org/resource/Herbert_Hoover","Herbert Hoover",1874
"http://dbpedia.org/resource/Winston_Churchill","Winston Churchill",1874
"http://dbpedia.org/resource/Sténio_Vincent","Sténio Vincent",1874
"http://dbpedia.org/resource/Nicholas_Roerich","Nicholas Roerich",1874
"http://dbpedia.org/resource/James_T._Shotwell","James T. Shotwell",1874
"http://dbpedia.org/resource/Albert_Schweitzer","Albert Schweitzer",1875
"http://dbpedia.org/resource/Eglantyne_Jebb","Eglantyne Jebb",1876
"http://dbpedia.org/resource/J._H._Morgan","J. H. Morgan",1876
"http://dbpedia.org/resource/Pope_Pius_XII","Pope Pius XII",1876
"http://dbpedia.org/resource/Maxim_Litvinov","Maxim Litvinov",1876
"http://dbpedia.org/resource/José_Gustavo_Guerrero","José Gustavo Guerrero",1876
"http://dbpedia.org/resource/Pablo_Casals","Pablo Casals",1876
"http://dbpedia.org/resource/Carlos_Ibáñez_del_Campo","Carlos Ibáñez del Campo",1877
"http://dbpedia.org/resource/Aga_Khan_III","Aga Khan III",1877
"http://dbpedia.org/resource/Rosika_Schwimmer","Rosika Schwimmer",1877
"http://dbpedia.org/resource/Joseph_Stalin","Joseph Stalin",1878
"http://dbpedia.org/resource/Robert_Jacquinot_de_Besange","Robert Jacquinot de Besange",1878
"http://dbpedia.org/resource/Herbert_H._Lehman","Herbert H. Lehman",1878
"http://dbpedia.org/resource/Shigeru_Yoshida","Shigeru Yoshida",1878
"http://dbpedia.org/resource/Frank_Buchman","Frank Buchman",1878
"http://dbpedia.org/resource/Gustav_Stresemann","Gustav Stresemann",1878
"http://dbpedia.org/resource/Carlos_Saavedra_Lamas","Carlos Saavedra Lamas",1878
"http://dbpedia.org/resource/Arthur_Ernest_Morgan","Arthur Ernest Morgan",1878
"http://dbpedia.org/resource/Harry_Willis_Miller","Signs of the Times Publishing Association",1879
"http://dbpedia.org/resource/Harry_Willis_Miller","Harry Willis Miller",1879
"http://dbpedia.org/resource/Hans_Luther","Hans Luther",1879
"http://dbpedia.org/resource/Pierre_Cérésole","Pierre Cérésole",1879
"http://dbpedia.org/resource/Léon_Jouhaux","Léon Jouhaux",1879
"http://dbpedia.org/resource/Rafael_Erich","Rafael Erich",1879
"http://dbpedia.org/resource/Alfred_Eckhard_Zimmern","Alfred Eckhard Zimmern",1879
"http://dbpedia.org/resource/Margaret_Sanger","Margaret Sanger",1879
"http://dbpedia.org/resource/Helen_Keller","Helen Keller",1880
"http://dbpedia.org/resource/Samuel_Hoare,_1st_Viscount_Templewood","Samuel Hoare, 1st Viscount Templewood",1880
"http://dbpedia.org/resource/Dick_Sheppard_(priest)","Dick Sheppard (priest)",1880
"http://dbpedia.org/resource/John_Boyd_Orr","John Boyd Orr",1880
"http://dbpedia.org/resource/Hans_Kelsen","Hans Kelsen",1881
"http://dbpedia.org/resource/Giovanni_Papini","Giovanni Papini",1881
"http://dbpedia.org/resource/Carl_Bonnevie","Carl Bonnevie",1881
"http://dbpedia.org/resource/Joseph_Cardijn","Joseph Cardijn",1882
"http://dbpedia.org/resource/Grenville_Clark","Grenville Clark",1882
"http://dbpedia.org/resource/Franklin_D._Roosevelt","Franklin D. Roosevelt",1882
"http://dbpedia.org/resource/Louis_St._Laurent","Louis St. Laurent",1882
"http://dbpedia.org/resource/Robert_Debré","Robert Debré",1882
"http://dbpedia.org/resource/Benito_Mussolini","Benito Mussolini",1883
"http://dbpedia.org/resource/Clement_Attlee","Clement Attlee",1883
"http://dbpedia.org/resource/John_Maynard_Keynes","John Maynard Keynes",1883
"http://dbpedia.org/resource/Pierre_Laval","Pierre Laval",1883
"http://dbpedia.org/resource/Stanley_Bruce","Stanley Bruce",1883
"http://dbpedia.org/resource/Cyrus_S._Eaton","Cyrus S. Eaton",1883
"http://dbpedia.org/resource/Norman_Bentwich","Norman Bentwich",1883
"http://dbpedia.org/resource/Edvard_Beneš","Edvard Beneš",1884
"http://dbpedia.org/resource/Zeth_Höglund","Zeth Höglund",1884
"http://dbpedia.org/resource/Eleanor_Roosevelt","Eleanor Roosevelt",1884
"http://dbpedia.org/resource/Harry_S._Truman","Harry S. Truman",1884
"http://dbpedia.org/resource/İsmet_İnönü","İsmet İnönü",1884
"http://dbpedia.org/resource/Vincent_Auriol","Vincent Auriol",1884
"http://dbpedia.org/resource/Norman_Thomas","Norman Thomas",1884
"http://dbpedia.org/resource/Frank_Laubach","Frank Laubach",1884
"http://dbpedia.org/resource/Clement_Davies","Clement Davies",1884
"http://dbpedia.org/resource/Ernst_Bloch","Ernst Bloch",1885
"http://dbpedia.org/resource/C._J._Hambro","C. J. Hambro",1885
"http://dbpedia.org/resource/Fritz_von_Unruh","Fritz von Unruh",1885
